Date,BAID
02/01/2002,845
03/01/2002,826
04/01/2002,811
07/01/2002,800
08/01/2002,790
09/01/2002,778
10/01/2002,777
11/01/2002,773
14/01/2002,777
15/01/2002,776
16/01/2002,783
17/01/2002,790
18/01/2002,793
21/01/2002,800
22/01/2002,811
23/01/2002,811
24/01/2002,815
25/01/2002,815
28/01/2002,812
29/01/2002,808
30/01/2002,812
31/01/2002,810
01/02/2002,807
04/02/2002,724
05/02/2002,717
06/02/2002,714
07/02/2002,712
08/02/2002,706
12/02/2002,704
13/02/2002,703
14/02/2002,703
15/02/2002,704
18/02/2002,705
19/02/2002,712
20/02/2002,710
21/02/2002,709
22/02/2002,707
25/02/2002,706
26/02/2002,709
27/02/2002,713
28/02/2002,717
01/03/2002,720
04/03/2002,719
05/03/2002,717
06/03/2002,720
07/03/2002,719
11/03/2002,699
12/03/2002,687
13/03/2002,681
14/03/2002,681
15/03/2002,684
18/03/2002,682
19/03/2002,678
20/03/2002,681
21/03/2002,677
22/03/2002,681
25/03/2002,680
26/03/2002,685
27/03/2002,692
28/03/2002,689
02/04/2002,689
03/04/2002,691
04/04/2002,707
05/04/2002,718
08/04/2002,718
09/04/2002,720
10/04/2002,721
11/04/2002,733
12/04/2002,736
15/04/2002,753
16/04/2002,775
17/04/2002,778
18/04/2002,778
19/04/2002,774
22/04/2002,768
23/04/2002,758
24/04/2002,745
25/04/2002,744
26/04/2002,753
29/04/2002,749
30/04/2002,759
01/05/2002,760
02/05/2002,760
03/05/2002,760
07/05/2002,756
08/05/2002,746
09/05/2002,741
10/05/2002,735
13/05/2002,742
14/05/2002,763
15/05/2002,782
16/05/2002,813
17/05/2002,821
20/05/2002,824
22/05/2002,830
23/05/2002,814
24/05/2002,811
27/05/2002,808
28/05/2002,800
29/05/2002,807
30/05/2002,817
31/05/2002,828
05/06/2002,813
06/06/2002,805
10/06/2002,785
11/06/2002,782
12/06/2002,782
13/06/2002,774
14/06/2002,759
17/06/2002,754
18/06/2002,747
19/06/2002,723
20/06/2002,710
21/06/2002,698
25/06/2002,712
26/06/2002,725
27/06/2002,723
28/06/2002,729
02/07/2002,719
03/07/2002,705
04/07/2002,698
05/07/2002,701
08/07/2002,701
09/07/2002,699
10/07/2002,714
11/07/2002,717
12/07/2002,718
15/07/2002,723
16/07/2002,757
17/07/2002,767
18/07/2002,785
19/07/2002,797
22/07/2002,792
23/07/2002,798
24/07/2002,793
25/07/2002,780
26/07/2002,771
29/07/2002,750
