Date,Brent
02/01/2002,21
03/01/2002,20.66
04/01/2002,22.18
07/01/2002,22.03
08/01/2002,22.02
09/01/2002,20.89
10/01/2002,21.29
11/01/2002,20.86
14/01/2002,19.78
15/01/2002,19.7
16/01/2002,19.36
17/01/2002,18.41
18/01/2002,18.45
21/01/2002,18.57
22/01/2002,18.75
23/01/2002,19.19
24/01/2002,19.13
25/01/2002,19.37
28/01/2002,19.65
29/01/2002,19.24
30/01/2002,18.79
31/01/2002,19.18
01/02/2002,19.98
04/02/2002,19.81
05/02/2002,19.56
06/02/2002,19.31
07/02/2002,19.21
08/02/2002,19.72
11/02/2002,21.44
12/02/2002,20.46
13/02/2002,20.7
14/02/2002,20.82
15/02/2002,20.87
18/02/2002,20.33
19/02/2002,20.52
20/02/2002,19.86
21/02/2002,20.37
22/02/2002,20.37
25/02/2002,19.98
26/02/2002,20.86
27/02/2002,20.85
28/02/2002,21.33
01/03/2002,21.89
04/03/2002,21.94
05/03/2002,22.79
06/03/2002,22.72
07/03/2002,23.3
08/03/2002,23.33
11/03/2002,23.89
12/03/2002,23.7
13/03/2002,23.89
14/03/2002,24.06
15/03/2002,24.55
18/03/2002,25.07
19/03/2002,24.91
20/03/2002,24.66
21/03/2002,25.42
22/03/2002,25.36
25/03/2002,25.13
26/03/2002,25.31
27/03/2002,25.44
28/03/2002,25.92
02/04/2002,27.66
03/04/2002,27.27
04/04/2002,27.31
05/04/2002,25.99
08/04/2002,27.02
09/04/2002,26.08
10/04/2002,26.01
11/04/2002,25.04
12/04/2002,24.29
15/04/2002,24.7
16/04/2002,24.58
17/04/2002,25.38
18/04/2002,25.77
19/04/2002,25.85
22/04/2002,25.89
23/04/2002,26
24/04/2002,25.76
25/04/2002,25.93
26/04/2002,26.19
29/04/2002,26.68
30/04/2002,26.47
01/05/2002,25.87
02/05/2002,25.43
03/05/2002,25.75
07/05/2002,25.41
08/05/2002,26.03
09/05/2002,25.94
10/05/2002,26.38
13/05/2002,26.58
14/05/2002,27.31
15/05/2002,26.17
16/05/2002,26.22
17/05/2002,26.36
20/05/2002,26.38
21/05/2002,25.6
22/05/2002,25.5
23/05/2002,25.39
24/05/2002,25.18
27/05/2002,24.94
28/05/2002,24.76
29/05/2002,25.12
30/05/2002,24.05
31/05/2002,24.45
05/06/2002,24.18
06/06/2002,24.22
07/06/2002,23.99
10/06/2002,23.66
11/06/2002,23.3
12/06/2002,23.51
13/06/2002,24.06
14/06/2002,24.99
17/06/2002,25.24
18/06/2002,24.79
19/06/2002,24.55
20/06/2002,25.07
21/06/2002,24.75
24/06/2002,25.27
25/06/2002,25.2
26/06/2002,25.24
27/06/2002,25.45
28/06/2002,25.58
01/07/2002,25.64
02/07/2002,25.75
03/07/2002,25.84
04/07/2002,25.55
05/07/2002,25.73
08/07/2002,25.08
09/07/2002,25.17
10/07/2002,25.93
11/07/2002,25.96
12/07/2002,26.32
15/07/2002,26.06
16/07/2002,26.28
17/07/2002,26.44
18/07/2002,26.28
19/07/2002,26.43
22/07/2002,25.42
23/07/2002,25.04
24/07/2002,25.33
25/07/2002,25.26
26/07/2002,25.03
29/07/2002,25
30/07/2002,25.68
31/07/2002,25.44
01/08/2002,25.01
02/08/2002,25.31
05/08/2002,24.89
06/08/2002,25.53
07/08/2002,24.95
08/08/2002,25.11
09/08/2002,25.34
12/08/2002,26.04
13/08/2002,26.15
14/08/2002,26.38
15/08/2002,26.8
16/08/2002,27
19/08/2002,27.26
20/08/2002,27.1
21/08/2002,27.41
22/08/2002,27.02
23/08/2002,26.99
27/08/2002,27.22
28/08/2002,26.95
29/08/2002,27.52
30/08/2002,27.47
02/09/2002,27.54
