Date,WTI
02/01/2002,21.01
03/01/2002,20.37
04/01/2002,21.62
07/01/2002,21.48
08/01/2002,21.25
09/01/2002,20.18
10/01/2002,20.38
11/01/2002,19.68
14/01/2002,18.89
15/01/2002,18.9
16/01/2002,18.86
17/01/2002,17.97
18/01/2002,18
22/01/2002,18.34
23/01/2002,19.5
24/01/2002,19.7
25/01/2002,19.99
28/01/2002,20.05
29/01/2002,19.58
30/01/2002,19.08
31/01/2002,19.48
01/02/2002,20.38
04/02/2002,20.07
05/02/2002,20.07
06/02/2002,19.78
07/02/2002,19.64
08/02/2002,20.26
11/02/2002,21.41
12/02/2002,20.73
13/02/2002,21.18
14/02/2002,21.23
15/02/2002,21.5
19/02/2002,20.88
20/02/2002,20.29
21/02/2002,20.95
22/02/2002,21.07
25/02/2002,20.48
26/02/2002,21.41
27/02/2002,21.29
28/02/2002,21.74
01/03/2002,22.4
04/03/2002,22.45
05/03/2002,23.17
06/03/2002,23.15
07/03/2002,23.71
08/03/2002,23.84
11/03/2002,24.31
12/03/2002,24.2
13/03/2002,24.16
14/03/2002,24.56
15/03/2002,24.51
18/03/2002,25.11
19/03/2002,24.88
20/03/2002,24.9
21/03/2002,25.61
22/03/2002,25.35
25/03/2002,24.99
26/03/2002,25.36
27/03/2002,25.87
28/03/2002,26.31
01/04/2002,26.88
02/04/2002,27.71
03/04/2002,27.56
04/04/2002,26.58
05/04/2002,26.21
08/04/2002,26.54
09/04/2002,25.82
10/04/2002,26.13
11/04/2002,24.99
12/04/2002,23.47
15/04/2002,24.57
16/04/2002,24.75
17/04/2002,25.94
18/04/2002,26.18
19/04/2002,26.38
22/04/2002,26.27
23/04/2002,26.62
24/04/2002,26.38
25/04/2002,26.73
26/04/2002,27.11
29/04/2002,27.57
30/04/2002,27.29
01/05/2002,26.75
02/05/2002,26.24
03/05/2002,26.62
06/05/2002,26.12
07/05/2002,26.63
08/05/2002,27.85
09/05/2002,27.68
10/05/2002,27.99
13/05/2002,28.38
14/05/2002,29.36
15/05/2002,28.15
16/05/2002,27.95
17/05/2002,28.18
20/05/2002,28.33
21/05/2002,27.33
22/05/2002,26.37
23/05/2002,26.15
24/05/2002,25.88
28/05/2002,25.27
29/05/2002,25.76
30/05/2002,24.67
31/05/2002,25.31
03/06/2002,25.08
04/06/2002,25.33
05/06/2002,24.89
06/06/2002,24.79
07/06/2002,24.75
10/06/2002,24.29
11/06/2002,24.12
12/06/2002,24.64
13/06/2002,25.64
14/06/2002,25.94
17/06/2002,26.09
18/06/2002,25.43
19/06/2002,25.31
20/06/2002,25.53
21/06/2002,25.82
24/06/2002,26.47
25/06/2002,26.32
26/06/2002,26.76
27/06/2002,26.86
28/06/2002,26.86
01/07/2002,26.81
02/07/2002,26.77
03/07/2002,26.8
08/07/2002,26.07
09/07/2002,26.09
10/07/2002,26.77
11/07/2002,26.83
12/07/2002,27.48
15/07/2002,27.07
16/07/2002,27.75
17/07/2002,27.88
18/07/2002,27.57
19/07/2002,27.83
22/07/2002,26.6
23/07/2002,26.31
24/07/2002,26.87
25/07/2002,26.77
26/07/2002,26.54
29/07/2002,26.55
30/07/2002,27.36
31/07/2002,27.02
01/08/2002,26.47
02/08/2002,26.84
05/08/2002,26.58
06/08/2002,27.17
07/08/2002,26.5
08/08/2002,26.67
09/08/2002,26.86
12/08/2002,27.86
13/08/2002,27.9
14/08/2002,28.15
15/08/2002,29.06
16/08/2002,29.33
19/08/2002,29.84
20/08/2002,30.11
21/08/2002,29.24
22/08/2002,28.84
23/08/2002,28.63
26/08/2002,29.28
27/08/2002,28.83
28/08/2002,28.34
29/08/2002,28.92
30/08/2002,28.98
03/09/2002,27.79
04/09/2002,28.27
05/09/2002,28.98
06/09/2002,29.61
09/09/2002,29.73
10/09/2002,29.73
11/09/2002,29.77
12/09/2002,28.85
13/09/2002,29.81
16/09/2002,29.67
17/09/2002,29.08
