Date,crude_export
01/01/2002,56287.3744
01/02/2002,58485.5696
01/03/2002,61058.611
01/04/2002,58526.3616
01/05/2002,58790.0302
01/06/2002,58375.4804
01/07/2002,57554.8412
01/08/2002,56927.7758
01/09/2002,59993.3972
01/10/2002,59171.5972
01/11/2002,64197.4646
01/12/2002,63374.7334
01/01/2003,60483.8234
01/02/2003,69001.068
01/03/2003,68198.7786
01/04/2003,70916.5728
01/05/2003,72707.2228
01/06/2003,67064.6346
01/07/2003,68996.8498
01/08/2003,70773.7918
01/09/2003,68808.8008
01/10/2003,69681.27
01/11/2003,68945.4418
01/12/2003,71536.7118
01/01/2004,70750.2274
01/02/2004,69847.037
01/03/2004,76364.1188
01/04/2004,72734.3894
01/05/2004,70335.6536
01/06/2004,73577.2956
01/07/2004,77045.584
01/08/2004,73613.9798
01/09/2004,77416.41
01/10/2004,76583.5968
01/11/2004,78476.4114
01/12/2004,78141.641
01/01/2005,76812.0906
01/02/2005,79396.047
01/03/2005,79239.2062
01/04/2005,78096.8936
01/05/2005,82083.147
01/06/2005,77382.4186
01/07/2005,80236.8382
01/08/2005,78401.8992
01/09/2005,76762.6102
01/10/2005,77023.0544
01/11/2005,77117.5312
01/12/2005,82204.2362
01/01/2006,78877.7656
01/02/2006,79790.2212
01/03/2006,81537.1432
01/04/2006,78551.9448
01/05/2006,80556.7114
01/06/2006,78778.1248
01/07/2006,78682.5928
01/08/2006,78417.977
01/09/2006,76760.6076
01/10/2006,77690.7586
01/11/2006,77454.4286
01/12/2006,78173.7688
01/01/2007,80396.444
01/02/2007,81314.1498
01/03/2007,81171.1762
01/04/2007,81302.7794
01/05/2007,82036.8982
01/06/2007,79453.6026
01/07/2007,79196.4232
01/08/2007,80519.0632
01/09/2007,79640.875
01/10/2007,82317.213
01/11/2007,80704.5534
01/12/2007,82506.8722
01/01/2008,82595.5086
01/02/2008,83799.7406
01/03/2008,80414.1076
01/04/2008,79904.043
01/05/2008,79161.1956
01/06/2008,79619.0094
01/07/2008,80684.8064
01/08/2008,80602.2028
01/09/2008,77942.5932
01/10/2008,80923.2128
01/11/2008,79097.4786
01/12/2008,79886.4224
01/01/2009,75990.8064
01/02/2009,77808.9182
01/03/2009,75265.9724
01/04/2009,75155.1732
01/05/2009,77111.6656
01/06/2009,76247.1246
01/07/2009,75812.589
01/08/2009,75344.574
01/09/2009,74744.9244
01/10/2009,77135.8872
01/11/2009,75241.4696
01/12/2009,78117.2318
01/01/2010,71375.124
01/02/2010,76898.3494
01/03/2010,73431.6608
01/04/2010,74269.9478
01/05/2010,72868.63
01/06/2010,72301.6958
01/07/2010,71333.5838
01/08/2010,70119.9914
01/09/2010,72744.7002
01/10/2010,67112.3084
01/11/2010,74179.4632
01/12/2010,75342.551
01/01/2011,36225.7691
01/02/2011,37842.9388
01/03/2011,35866.4337
01/04/2011,36415.0689
01/05/2011,35709.2341
01/06/2011,36725.4763
01/07/2011,36393.9682
01/08/2011,34825.9684
01/09/2011,35168.4565
01/10/2011,37587.3446
01/11/2011,37102.7034
01/12/2011,36068.3898
01/01/2012,38426.7397
01/02/2012,39942.384
01/03/2012,39008.6355
01/04/2012,38602.3148
01/05/2012,38661.3334
01/06/2012,36334.5472
01/07/2012,38259.032
01/08/2012,38275.3065
01/09/2012,36965.5155
01/10/2012,38294.6144
01/11/2012,38668.5334
01/12/2012,38846.1709
01/01/2013,37371.334
01/02/2013,36474.3835
01/03/2013,38419.7927
01/04/2013,38965.8661
01/05/2013,38852.2966
01/06/2013,37409.9269
01/07/2013,38350.6333
01/08/2013,37771.7413
01/09/2013,37383.9403
01/10/2013,35071.3969
01/11/2013,35850.5362
01/12/2013,30954.1055
01/01/2014,36079.2276
01/02/2014,38603.5832
01/03/2014,37879.0776
01/04/2014,38536.1888
01/05/2014,37771.8729
01/06/2014,35462.5953
01/07/2014,36824.0134
01/08/2014,35906.8414
01/09/2014,36008.1385
01/10/2014,36723.9106
01/11/2014,36405.0533
01/12/2014,36963.4177
01/01/2015,37571.67
01/02/2015,36280.3026
01/03/2015,37946.0682
01/04/2015,37119.2622
01/05/2015,37381.2094
01/06/2015,38254.4708
01/07/2015,37264.1747
