Date,crude_import
01/01/2002,34721.3442
01/02/2002,35921.2627
01/03/2002,35227.2044
01/04/2002,35617.6253
01/05/2002,35541.8733
01/06/2002,36032.5065
01/07/2002,35097.8236
01/08/2002,36215.4323
01/09/2002,35478.5045
01/10/2002,35339.3404
01/11/2002,37332.6154
01/12/2002,36356.2
01/01/2003,36795.5685
01/02/2003,37339.2616
01/03/2003,38398.2719
01/04/2003,38440.6581
01/05/2003,36944.6932
01/06/2003,38140.8621
01/07/2003,37458.0311
01/08/2003,36799.122
01/09/2003,39108.7312
01/10/2003,38201.2648
01/11/2003,37927.8057
01/12/2003,39340.1457
01/01/2004,39713.9612
01/02/2004,41454.9955
01/03/2004,40318.5033
01/04/2004,40772.8884
01/05/2004,41114.5282
01/06/2004,41960.6362
01/07/2004,41346.6864
01/08/2004,45414.9981
01/09/2004,39464.6514
01/10/2004,39911.472
01/11/2004,41677.9681
01/12/2004,45990.9643
01/01/2005,40082.5733
01/02/2005,40972.2844
01/03/2005,41032.0587
01/04/2005,40111.6616
01/05/2005,41162.8003
01/06/2005,40151.3413
01/07/2005,40930.8008
01/08/2005,40458.205
01/09/2005,39641.347
01/10/2005,40594.0883
01/11/2005,41551.9704
01/12/2005,41106.0802
01/01/2006,40809.8397
01/02/2006,41186.4749
01/03/2006,41423.8997
01/04/2006,39611.895
01/05/2006,41750.6973
01/06/2006,41071.3232
01/07/2006,40765.8859
01/08/2006,41540.2808
01/09/2006,41591.4849
01/10/2006,40275.9277
01/11/2006,41273.7724
01/12/2006,39925.4232
01/01/2007,41186.7094
01/02/2007,40988.005
01/03/2007,40873.907
01/04/2007,41634.9941
01/05/2007,40820.6311
01/06/2007,40889.6987
01/07/2007,41630.9363
01/08/2007,42022.5632
01/09/2007,40815.5424
01/10/2007,40918.5275
01/11/2007,41005.3985
01/12/2007,42098.1799
01/01/2008,42043.8956
01/02/2008,40767.3895
01/03/2008,42021.8454
01/04/2008,41620.303
01/05/2008,40983.6568
01/06/2008,41175.03
01/07/2008,41700.38
01/08/2008,41819.4565
01/09/2008,39529.5356
01/10/2008,41465.2684
01/11/2008,40062.4761
01/12/2008,40182.9929
01/01/2009,39828.8374
01/02/2009,39274.2064
01/03/2009,39442.0605
01/04/2009,39495.8664
01/05/2009,38618.7535
01/06/2009,39965.5573
01/07/2009,39816.2677
01/08/2009,39159.613
01/09/2009,39727.7965
01/10/2009,38353.3476
01/11/2009,38870.0029
01/12/2009,38797.8113
01/01/2010,38631.9478
01/02/2010,39897.6899
01/03/2010,39411.0814
01/04/2010,41736.2179
01/05/2010,39116.6582
01/06/2010,42571.0822
01/07/2010,42178.4478
01/08/2010,40734.1422
01/09/2010,40640.8059
01/10/2010,38545.6064
01/11/2010,40257.6097
01/12/2010,40502.2201
01/01/2011,41029.0579
01/02/2011,39526.2725
01/03/2011,41466.0514
01/04/2011,41090.2347
01/05/2011,40116.6945
01/06/2011,40707.3119
01/07/2011,40339.249
01/08/2011,41266.1199
01/09/2011,40285.3151
01/10/2011,39692.8902
01/11/2011,41133.558
01/12/2011,40052.5282
01/01/2012,42669.1824
01/02/2012,42779.6177
01/03/2012,40979.0385
01/04/2012,41426.3721
01/05/2012,42140.5594
01/06/2012,41562.5127
01/07/2012,41404.1875
01/08/2012,40871.1946
01/09/2012,40289.4461
01/10/2012,40727.5862
01/11/2012,41955.7931
01/12/2012,40233.8152
01/01/2013,41843.878
01/02/2013,40254.571
01/03/2013,39963.5832
01/04/2013,40493.2233
01/05/2013,40549.2412
01/06/2013,39605.5824
01/07/2013,41191.755
01/08/2013,40274.9078
01/09/2013,40723.5583
01/10/2013,38069.234
01/11/2013,39353.6244
01/12/2013,39768.6221
01/01/2014,41258.3948
01/02/2014,41048.8189
01/03/2014,39660.6109
01/04/2014,40677.3079
01/05/2014,39946.6123
01/06/2014,38273.5079
01/07/2014,39890.8812
01/08/2014,40590.9188
01/09/2014,41364.5709
01/10/2014,40165.6732
01/11/2014,39755.1548
01/12/2014,42212.2787
01/01/2015,41255.5548
01/02/2015,41347.7774
01/03/2015,41581.9646
01/04/2015,42446.6551
01/05/2015,40623.8332
01/06/2015,42491.5833
01/07/2015,43208.1527
01/08/2015,42051.9168
01/09/2015,41808.8349
01/10/2015,40151.5889
01/11/2015,40681.0174
01/12/2015,45175.7314
01/01/2016,42844.3576
01/02/2016,43295.236
01/03/2016,43062.3208
01/04/2016,43396.0647
01/05/2016,42693.8344
01/06/2016,42651.5875
01/07/2016,43396.1942
01/08/2016,44107.9164
01/09/2016,44188.4069
01/10/2016,40840.6223
01/11/2016,44659.4379
01/12/2016,45067.9149
01/01/2017,46241.4955
01/02/2017,45043.8298
01/03/2017,45776.5096
01/04/2017,44987.5331
01/05/2017,45505.2264
01/06/2017,45751.5569
01/07/2017,45413.0158
01/08/2017,45328.2527
01/09/2017,45452.6387
01/10/2017,43516.3319
01/11/2017,46953.9719
01/12/2017,45752.9339
01/01/2018,47513.6352
01/02/2018,46398.1239
01/03/2018,44921.6862
01/04/2018,46089.291
01/05/2018,45927.3874
01/06/2018,44980.9662
01/07/2018,46013.6398
01/08/2018,47243.1051
01/09/2018,44059.4832
01/10/2018,46592.6878
01/11/2018,46250.3801
01/12/2018,46342.0348
01/01/2019,47549.6394
01/02/2019,46775.6373
01/03/2019,44567.0292
01/04/2019,48007.4169
01/05/2019,44398.5766
01/06/2019,76080.5941
01/07/2019,46075.6456
01/08/2019,46269.5098
01/09/2019,43411.3414
01/10/2019,44952.1875
01/11/2019,46067.2072
01/12/2019,46274.9259
01/01/2020,45458.0929
01/02/2020,45576.6979
01/03/2020,44007.7097
01/04/2020,41235.3994
01/05/2020,39315.8206
01/06/2020,40885.3974
01/07/2020,41098.4222
01/08/2020,40397.6243
01/09/2020,42414.6673
01/10/2020,38682.1302
01/11/2020,41035.4336
01/12/2020,40755.6172
01/01/2021,40498.9238
01/02/2021,40855.3552
01/03/2021,41538.1524
01/04/2021,40725.7902
01/05/2021,40226.806
01/06/2021,40557.111
01/07/2021,40358.6618
01/08/2021,42396.0807
01/09/2021,41383.3068
01/10/2021,40142.6315
01/11/2021,42408.4165
01/12/2021,43571.4487
01/01/2022,42442.1301
01/02/2022,44469.4177
01/03/2022,42812.8142
01/04/2022,43755.4361
01/05/2022,43712.9411
01/06/2022,41312.2929
01/07/2022,43376.0669
01/08/2022,42944.7591
01/09/2022,43173.6478
01/10/2022,41800.9182
01/11/2022,44339.0807
01/12/2022,43888.3596
01/01/2023,42411.1572
01/02/2023,44696.5256
01/03/2023,44724.5601
01/04/2023,42678.4599
01/05/2023,43800.9879
01/06/2023,44719.2278
01/07/2023,42371.0293
01/08/2023,44467.4529
